"A_YEAR","B_COUNTRY","N_REGION_ISO","Q176","Q158","Q159","Q163","Q71","Q72","Q73","Q59","Q60","Q61","Q262","Q275","Q207","Q171","Q63","Q58","Q62","Q161","regions","Tech_convenience","Tech_future","Tech_impact","Tech_moral","Government","Political_party","Parliament","Neighborhood","Acquaintance","Stranger","Other_Nationality","Family","Other_Religion","Moral_uncertainty","Age","Education","Social_media_usage","Religious_service"
2017,840,840018,5,3,4,3,3,4,4,2,2,3,35,2,1,2,3,1,3,3,"South",3,4,3,8,2,1,1,3,3,2,2,4,2,6,35,2,1,2
2017,840,840025,1,1,1,1,4,4,4,4,3,4,49,3,1,7,3,1,3,1,"Midwest",1,1,1,10,1,1,1,1,2,1,2,4,2,10,49,3,1,7
2017,840,840033,7,5,4,1,4,4,4,4,2,3,20,3,1,4,2,1,2,5,"South",5,4,1,6,1,1,1,1,3,2,3,4,3,4,20,3,1,4
2017,840,840009,1,1,1,1,2,2,2,4,3,3,27,3,5,7,3,1,3,1,"South",1,1,1,10,3,3,3,1,2,2,2,4,2,10,27,3,5,7
2017,840,840035,1,1,1,1,4,4,4,3,2,4,41,5,1,7,2,2,2,1,"Midwest",1,1,1,10,1,1,1,2,3,1,3,3,3,10,41,5,1,7
2017,840,840043,1,7,6,1,3,3,3,2,2,2,52,5,1,2,2,1,3,6,"South",7,6,1,5,2,2,2,3,3,3,3,4,2,10,52,5,1,2
2017,840,840043,1,1,1,1,4,4,4,4,4,4,24,4,5,6,4,1,4,10,"South",1,1,1,1,1,1,1,1,1,1,1,4,1,10,24,4,5,6
2017,840,840023,10,10,10,1,4,4,4,4,4,4,57,2,1,7,4,4,4,10,"Midwest",10,10,1,1,1,1,1,1,1,1,1,1,1,1,57,2,1,7
2017,840,840031,1,1,1,1,4,4,4,2,2,4,20,3,5,6,4,1,4,10,"West",1,1,1,1,1,1,1,3,3,1,1,4,1,10,20,3,5,6
2017,840,840006,1,10,3,1,3,4,4,1,3,4,31,4,2,4,2,2,3,6,"West",10,3,1,5,2,1,1,4,2,1,3,3,2,10,31,4,2,4
2017,840,840005,5,8,10,1,4,4,4,2,2,2,30,4,5,7,2,4,2,9,"West",8,10,1,2,1,1,1,3,3,3,3,1,3,6,30,4,5,7
